AWARD	DESCRIPTION	female	male	non-binary	transgender female	p_value	start_date	end_date	PERSON
The Shaw Prize in Life Science and Medicine	$null$	1.0	18.0	0.0	0.0	3.814697265625e-05	2004-01-01T00:00:00Z	2017-01-01T00:00:00Z	Bonnie Bassler; Bruce Beutler; David Julius; Douglas L. Coleman; Everett Peter Greenberg; Herbert Boyer; Ian Read Gibbons; Jeffrey C. Hall; Jules Hoffmann; Kazutoshi Mori; Keith Campbell; Michael Berridge; Michael Rosbash; Michael W. Young; Peter Walter; Richard Doll; Stanley Norman Cohen; Xiaodong Wang; Yuet Wai Kan
The Shaw Prize in Mathematical Sciences	$null$	1.0	18.0	0.0	0.0	3.814697265625e-05	2004-01-01T00:00:00Z	2018-01-01T00:00:00Z	Andrew Wiles; Claire Voisin; Clifford Taubes; David Donoho; David Mumford; Demetrios Christodoulou; George Lusztig; Gerd Faltings; Henryk Iwaniec; Jean Bourgain; János Kollár; Ludvig Faddeev; Luis Caffarelli; Maxim Kontsevich; Nigel Hitchin; Richard S. Hamilton; Robert Langlands; Shiing-Shen Chern; Simon Donaldson
Theodor Körner Prize	$null$	5.0	5.0	0.0	0.0	0.6230468749999999	1960-01-01T00:00:00Z	2009-01-01T00:00:00Z	Elisabeth Reichart; Friederike Mayröcker; Gerhard Senft; Harald Schweiger; Josef Haslinger; Judit Varga; Katharina Gruzei; Käthe Hye-Kerkdal; Robert Menasse; Wendelin Schmidt-Dengler
Theodosius Dobzhansky Prize	$null$	1.0	1.0	0.0	0.0	0.75	1981-01-01T00:00:00Z	1982-01-01T00:00:00Z	Douglas R. Cavener; Elizabeth A. Zimmer
Thomas C. Keefer Medal	award	0.0	1.0	0.0	0.0	0.5	2015-05-01T00:00:00Z	2015-05-01T00:00:00Z	Fariborz Haghighat
Thomas T. Hoopes Prize	$null$	0.0	1.0	0.0	0.0	0.5	2010-01-01T00:00:00Z	2010-01-01T00:00:00Z	Michael Viscardi
Thousand Talents Program	Chinese academic program	0.0	1.0	0.0	0.0	0.5	2013-01-01T00:00:00Z	2013-01-01T00:00:00Z	Yutaka Saitō
Three Physicists Prize	scholarly prize	1.0	50.0	0.0	0.0	2.3092638912203262e-14	1951-01-01T00:00:00Z	2019-01-01T00:00:00Z	Albert Joseph Libchaber; Alfred Kastler; André Guinier; André Lallemand; André Maréchal; André Neveu; André-Louis Danjon; Bernard Cagnac; Bernard Derrida; Claude Bouchiat; Claude Cohen-Tannoudji; Francis Perrin; Franck Laloë; Françoise Combes; Gaston Dupouy; Giorgio Parisi; Gérald Bastard; Hendrik Casimir; Ioannis Iliopoulos; Jacques Friedel; Jean Brossel; Jean Cabannes; Jean Coulomb; Jean Dalibard; Jean Rösch; Jean-Claude Pecker; Jean-François Denisse; Jean-Louis Steinberg; Jean-Loup Puget; Louis Néel; Maurice Bayen; Maurice Ponte; Max Morand; Michel Davier; Nevill Francis Mott; Philippe Meyer; Philippe Nozières; Pierre Encrenaz; Pierre Grivet; Pierre Jacquinot; Pierre Victor Auger; Raimond Castaing; Robert Klapisch; Robert Oppenheimer; Sébastien Balibar; Vincent Croquette; Vincent Hakim; Walter Kohn; Yves Couder; Édouard Brézin; Évry Schatzman
Tilden Prize	award granted by the Royal Society of Chemistry	3.0	143.0	0.0	0.0	5.816083670986295e-39	1939-01-01T00:00:00Z	2018-01-01T00:00:00Z	A. Guy Orpen; Alan Carrington; Alan R. Battersby; Alan R. Katritzky; Albert Ernest Alexander; Alexander R. Todd, Baron Todd; Alfred Geoffrey Sykes; Andrew Bruce Holmes; Andrew Ian Cooper; Andrew Orr-Ewing; Anthony Barrett; Anthony Charles Legon; Aubrey Trotman-Dickenson; Bernard Henbest; Bernard L. Shaw; Brian Arthur Thrush; Brian F. G. Johnson; Cecil Edwin Henry Bawn; Charles Rees; Chris Hunter; Christopher J. Moody; Colin D. Bain; David Charles Clary; David Garner; David Husain; David J. Cole-Hamilton; David John Wales; David Leigh; David Logan; David O'Hagan; David W. H. Rankin; David W. Turner; Dermot O'Hare; Dominic Tildesley; Douglas Hugh Everett; Dudley Howard Williams; Duncan W. Bruce; E.L. Hirst; Edward David Hughes; Eleanor Campbell; Eric James Thomas; Ernest Alexander Rudolf Braude; Euan K. Brechin; Frank Rose; Frank Stuart Spring; Franz Sondheimer; Frederick Ernest King; Frederick George Mann; Geoffrey Cloke; Geoffrey Gee; George Wallace Kenner; Gordon Cox; Gordon William K
Timoshenko Medal	award in recognition of distinguished contributions to the field of applied mechanics	0.0	24.0	0.0	0.0	5.960464477539063e-08	1957-01-01T00:00:00Z	2005-01-01T00:00:00Z	Bernard Budiansky; Chia-Chiao Lin; Daniel C. Drucker; Daniel D. Joseph; Eric Reissner; George F. Carrier; George Rankine Irwin; Grigory Barenblatt; Howard Wilson Emmons; J. Tinsley Oden; Jacob Pieter Den Hartog; James J. Stoker; James R. Rice; Jerald Ericksen; John L. Lumley; John W. Miles; Olgierd Zienkiewicz; Raymond D. Mindlin; Richard Grammel; Richard V. Southwell; Stephen Timoshenko; Ted Belytschko; William Prager; William Prager
