AWARD	DESCRIPTION	female	male	non-binary	transgender female	p_value	start_date	end_date	PERSON
Bengt Winblad Lifetime Achievement Award in Alzheimer’s Disease Research	medical research award	2.0	4.0	0.0	0.0	0.3437500000000001	1994-01-01T00:00:00Z	2017-01-01T00:00:00Z	Bernardino F. Ghetti; Brian Anderton; Claudia Kawas; George G. Glenner; Kazutomo Imahori; Sue Griffin
Benjamin Franklin Award	$null$	1.0	14.0	0.0	0.0	0.0004882812499999999	2002-01-01T00:00:00Z	2016-01-01T00:00:00Z	Alex Bateman; Ben Langmead; Ewan Birney; Helen M. Berman; Heng Li; Jim Kent; Jonathan A. Eisen; Lincoln Stein; Michael Ashburner; Michael Eisen; Owen White; Philip Bourne; Robert Gentleman; Sean Eddy; Steven Salzberg
Benjamin Franklin Medal	science and engineering award presented by the Franklin Institute	8.0	42.0	0.0	0.0	5.817779022976312e-07	1975-01-01T00:00:00Z	2019-01-01T00:00:00Z	Ahmed Zewail; Alan Guth; Alexandra Navrotsky; Anne M. Mulcahy; Antoine Émile Henry Labeyrie; Barry Marshall; Bill Gates; Bishnu S. Atal; Brian Spalding; Carl Wieman; Daniel C. Tsui; Daniel Kleppner; Elizabeth Blackburn; Fred Kavli; Gene Likens; Gordon Danby; Ingrid Daubechies; Irwin I. Shapiro; Jane Goodall; John B. Goodenough; John C. Mather; John Hopfield; John Robert Anderson; Joseph Smagorinsky; Karl Barry Sharpless; Louis E. Brus; Masatoshi Koshiba; Michael Dell; Nancy Wexler; Nick Holonyak; Noam Chomsky; Norman A. Phillips; Peter Nowell; Peter Vail; Peter Zoller; Richard M. Karp; Robert A. Berner; Roger Bacon; Rudolf Jaenisch; Ruzena Bajcsy; Shafrira Goldwasser; Shuji Nakamura; Stephen J. Lippard; Vladimir Vapnik; William Labov; William W. George; Wolfgang Ketterle; Yale Patt; Yoichiro Nambu; Zvi Hashin
Beno Gutenberg Medal	$null$	1.0	0.0	0.0	0.0	1.0	2002-01-01T00:00:00Z	2002-01-01T00:00:00Z	Tatyana Yanovskaya
Berggruen Philosophy Prize	$null$	0.0	1.0	0.0	0.0	0.5	2016-01-01T00:00:00Z	2016-01-01T00:00:00Z	Charles Taylor
Berlin Science Award	$null$	3.0	6.0	0.0	0.0	0.25390625	2008-01-01T00:00:00Z	2016-01-01T00:00:00Z	Anja Feldmann; Erika Fischer-Lichte; Heike Solga; Horst Bredekamp; Klaus-Robert Müller; Martin Grötschel; Nikolaus Rajewsky; Peter Hegemann; Ulrich Dirnagl
Berlin-Brandenburg Academy Award	award	0.0	12.0	0.0	0.0	0.000244140625	1996-01-01T00:00:00Z	2016-01-01T00:00:00Z	Andreas Bausch; Axel Meyer; Bernhard Schölkopf; Frédéric Merkt; Heino Falcke; Helmut Cölfen; Jürgen Gauß; Marius Grundmann; Martin Haspelmath; Matthias Staudacher; Michael Kramer; Peter Scholze
Berliner Kunstpreis	$null$	14.0	86.0	0.0	0.0	4.1422259360400387e-14	1948-01-01T00:00:00Z	2019-01-01T00:00:00Z	Aki Kaurismäki; Aribert Reimann; Artur Rother; Bernhard Heiliger; Bernhard Minetti; Carl-Heinz Kliemann; Christoph Ogiermann; Claire Denis; Curt Lahs; Dieter Roth; Dorte Mandrup; Erich Heckel; Erna Berger; Ernst Böhm; Ernst Wilhelm Nay; Erwin Anton Gutkind; Friedrich Ahlers-Hestermann; Georg Gresko; George Brecht; Gerda Rotermund; Gerhard Marcks; Gerhart Schreiter; Gert Reinholm; Giselher Klebe; Hann Trier; Hans Jaenisch; Hans Orlowski; Hans Purrmann; Hans Thiemann; Hans-Joachim Ihle; Heinz Friedrich Hartig; Heinz Tiessen; Heinz Tietjen; Heinz Trökes; Heinz Ungureit; Helmut Krebs; Helmut Lachenmann; Helmut Roloff; Hugo Häring; Ita Maximowna; Joana Maria Gorvin; Johann Nepomuk David; Josef Greindl; Julius Posener; Jürgen Neven-DuMont; Jürgen Sawade; Karl Forster; Karl Hartung; Karl Hofer; Kira Muratova; Kurt Meisel; Lidy Lüttwitz; Lina Wertmüller; Ludwig Hilberseimer; Ludwig Leo; Ludwig Mies van der Rohe; Luigi Nono; Mac Zimmermann; Manfred Bluth; Marcus Behmer; Martin Held; Mary Wigman
Bernd Rendel Prize	award to early career geoscientists	0.0	2.0	0.0	0.0	0.25	2016-01-01T00:00:00Z	2016-01-01T00:00:00Z	Andreas Hubert Schweiger; Max Frenzel
Bernie Lemire Award	Awarded annually by the Northeastern University Department of Chemistry for outstanding seniors	0.0	1.0	0.0	0.0	0.5	2015-04-01T00:00:00Z	2015-04-01T00:00:00Z	Charles Tapley Hoyt
Best Student Selected	award, quality of the work presented	0.0	1.0	0.0	0.0	0.5	2018-01-01T00:00:00Z	2018-01-01T00:00:00Z	Alexander Besuden
Bielefeld Science Prize	$null$	1.0	5.0	0.0	0.0	0.10937500000000001	2004-01-01T00:00:00Z	2016-01-01T00:00:00Z	Fritz W. Scharpf; Hans Joas; Lorraine Daston; Pierre Rosanvallon; Quentin Skinner; Ronald Dworkin
Bijvoet Medal	$null$	3.0	32.0	0.0	0.0	2.08849087357521e-07	1989-01-01T00:00:00Z	2018-01-01T00:00:00Z	Ad Bax; Alan Fersht; Andrej Šali; Ari Helenius; Bernd Bukau; Binne Zwanenburg; Brian R. Reid; Brian T Chait; Chris Dobson; David Agard; Elena Conti; Emmanuelle Charpentier; Fred McLafferty; Hans Paulsen; Hans Vliegenthart; Hartmut Michel; Isabella Karle; Ivano Bertini; Jack D. Dunitz; James C. Paulson; Joachim Seelig; Keith S Wilson; Kurt Wüthrich; Matthias Mann; Nathan Sharon; Nicolaas Bloembergen; Patrick Cramer; Peter Roepstorff; Rien de Bie; Rob Kaptein; Robert G. Griffin; Roderick MacKinnon; Ruedi Aebersold; Sjors Scheres; Tony Kouzarides
Bingham Medal	award of (US) Society of Rheology	0.0	2.0	0.0	0.0	0.25	1969-01-01T00:00:00Z	1979-01-01T00:00:00Z	Stanley G. Mason; William W. Graessley
Bioinorganic Chemistry Award	award granted by the Royal Society of Chemistry	0.0	5.0	0.0	0.0	0.03125	2009-01-01T00:00:00Z	2017-01-01T00:00:00Z	Chris Orvig; James A. Cowan; Paul J. Dyson; Thomas R. Ward; Thomas V. O'Halloran
Biotechnology Heritage Award	scientific award	0.0	6.0	0.0	0.0	0.015625	2000-01-01T00:00:00Z	2017-01-01T00:00:00Z	Arthur D. Levinson; Francis Collins; John C. Martin; Paul Berg; Robert A. Swanson; Robert Samuel Langer, Jr.
Bisset Hawkins Medal	$null$	1.0	30.0	0.0	0.0	1.490116119384766e-08	1899-01-01T00:00:00Z	2013-01-01T00:00:00Z	Abraham Manie Adelstein; Alastair Dudgeon; Arthur Newsholme; Charles Fletcher; Christopher Andrewes; Derrick Dunlop; Edward Mellanby; Frederick Menzies; George Godber; George Newman; Graham Wilson; James Russell; Jerry Morris; John Alexander Sinton; John Britton; Kay-Tee Khaw; Kenneth Calman; Major Greenwood; Michael Marmot; Nick Finer; Patrick Joseph Lawther; Patrick Manson; Percy Stocks; Richard Doll; Ronald Ross; Shirley Forster Murphy; T. H. C. Stevenson; Thomas Legge; William Henry Power; William Pickles; Wilson Jameson
Björkén Prize	$null$	2.0	7.0	0.0	0.0	0.08984375000000001	1917-01-01T00:00:00Z	2020-01-01T00:00:00Z	Christer Betsholtz; Eva Klein; Gerard De Geer; Jan Bergström; Kerstin Lindblad-Toh; Oskar Klein; Peter Perlmann; Richard Arthur Reyment; Torsten Carleman
Blaise Pascal Medal	annual award for scientists and technological researchers	1.0	2.0	0.0	0.0	0.5	2007-01-01T00:00:00Z	2016-01-01T00:00:00Z	Elvira Fortunato; Manuel García Velarde; Oscar H. Ibarra
Blaise Pascal Medal in Earth and Environmental Sciences	$null$	0.0	1.0	0.0	0.0	0.5	2018-01-01T00:00:00Z	2018-01-01T00:00:00Z	Carlos M. Duarte
Blaise-Pascal Award	$null$	1.0	5.0	0.0	0.0	0.10937500000000001	1988-01-01T00:00:00Z	2012-01-01T00:00:00Z	Christine Bernardi; Denis Serre; Francis Filbet; Hubert Reeves; Jacques Blum; Stéphane Mallat
Blas Cabrera National Research Award	$null$	0.0	8.0	0.0	0.0	0.00390625	2001-01-01T00:00:00Z	2020-01-01T00:00:00Z	Fernando Flores Sintas; Francisco Guinea; Javier Tejada Palacios; Juan Ignacio Cirac Sasturain; Luis Enrique Ibáñez; Pedro Miguel Echenique Landiríbar; Rafael Rebolo López; Xavier Obradors i Berenguer
Blondel Medal	french science award	1.0	18.0	0.0	0.0	3.814697265625e-05	1942-01-01T00:00:00Z	2004-01-01T00:00:00Z	André Merlin; Bernard Marti; Bernard Picinbono; Daniel Kaplan; Dominique Placko; Erich Spitz; Jean Robieux; Louis Néel; Maurice Ponte; Noël Felici; Odile Macchi; Pere Roca i Cabarrocas; Pierre Aigrain; Pierre Ailleret; Pierre Grivet; Raimond Castaing; René Pauthenet; Rémy Lemaire; Yves Rocard
Blue Planet Prize	award of the Asahi Glass Foundation	3.0	20.0	0.0	0.0	0.00024414062500000005	1995-01-01T00:00:00Z	2017-01-01T00:00:00Z	Amory Lovins; Bert Bolin; Claude Lorius; Emil Salim; Gene Likens; Gordon H. Sato; Gretchen Daily; Gro Harlem Brundtland; Hans Joachim Schellnhuber; Harold A. Mooney; Herman Daly; James Edward Hansen; James Gustave Speth; José Goldemberg; Karl-Henrik Robèrt; Mathis Wackernagel; Maurice Strong; Nicholas Shackleton; Norman Myers; Paul Ralph Ehrlich; Robert May, Baron May of Oxford; Theo Colborn; Thomas Lovejoy
Blumenthal Award	$null$	1.0	4.0	0.0	0.0	0.1875	1954-01-01T00:00:00Z	2009-01-01T00:00:00Z	Elon Lindenstrauss; Loïc Merel; Manjul Bhargava; Maryam Mirzakhani; Maurice Legendre
Bochum Historian Prize	$null$	0.0	2.0	0.0	0.0	0.25	2002-01-01T00:00:00Z	2014-01-01T00:00:00Z	Lutz Niethammer; Marcel van der Linden
Bogolyubov Gold Medal	$null$	0.0	1.0	0.0	0.0	0.5	2009-01-01T00:00:00Z	2009-01-01T00:00:00Z	Sergei Novikov
Bogolyubov Prize	$null$	0.0	1.0	0.0	0.0	0.5	2014-01-01T00:00:00Z	2014-01-01T00:00:00Z	Marc Henneaux
Bogolyubov Prize	award	0.0	1.0	0.0	0.0	0.5	2000-01-01T00:00:00Z	2000-01-01T00:00:00Z	Nikolay Bogolyubov
Bonavera Prize	$null$	3.0	50.0	0.0	0.0	2.7597923946132157e-12	1936-01-01T00:00:00Z	1982-01-01T00:00:00Z	Achille Erba; Adriano Prosperi; Alberto Conte; Alberto Facchini; Alberto Tognoli; Angelo Raffaele Meo; Bice Mortara Garavelli; Carlo Ossola; Carlo Sbordone; Claudio Marazzini; Davide Carlo Demaria; Edoardo Grendi; Edoardo Sanguineti; Edoardo Vesentini; Emilio Gagliardo; Francesco Donati; Franco Tricerri; Fulvia Skof; Gian Luigi Beccaria; Gian Mario Bravo; Gian Savino Pene Vidari; Gianfranco Giraudo; Gianfranco Torcellan; Giorgio De Rienzo; Giorgio Ferrarese; Giorgio Padoan; Giuseppe Ricuperati; Giuseppe Sergi; Giuseppe Tallini; Giuseppe Zaccaria; Ivo Gallimberti; Lamberto Cattabriga; Lellia Cracco Ruggini; Lorenzo Braccesi; Luigi Rodino; Mario Miranda; Marziano Guglielminetti; Massimo Firpo; Mauro Francaviglia; Michele Sce; Narciso Nada; Paolo Prodi; Pier Marco Bertinetto; Pier Vincenzo Mengaldo; Roberto Magari; Sergio Bertelli; Sergio Campanato; Silvio Nocilla; Stefano Piano; Tommaso Ruggeri; Umberto Levra; Valerio Castronovo; Vincenzo Ferrone
Bourke Award	award granted by the Royal Society of Chemistry	2.0	21.0	0.0	0.0	3.302097320556641e-05	1956-01-01T00:00:00Z	2017-01-01T00:00:00Z	Adriano Zecchina; Ann E. McDermott; Antoni Dymanus; Christian Amatore; David J. Nesbitt; Dieter M. Kolb; George C. Schatz; Gerard Meijer; Gregory D. Scholes; Henk Lekkerkerker; Jan J. Hermans; Joan Henri van der Waals; Kenneth Showalter; Kieron Burke; Laura Gagliardi; Lyndon Emsley; Martin Quack; Ole G. Mouritsen; Paul D. Lett; Roy G. Gordon; Stephen R. Leone; Thomas R. Rizzo; Wilhelm Jost
Bower Award and Prize for Achievement in Science	award	3.0	26.0	0.0	0.0	7.618218660354616e-06	1990-01-01T00:00:00Z	2019-01-01T00:00:00Z	Alexander Rich; Chen-ning Yang; Claude Lorius; Denis Parsons Burkitt; Edmund M. Clarke; Frances Arnold; Fred Brooks; George M. Church; Henri B. Kagan; Isabella Karle; Jean-Pierre Kruth; John W. Cahn; Ken'ichi Iga; Louis E. Brus; Martin Rees; Narain G. Hingorani; Paul Baran; Paul Lauterbur; Paul MacCready; Philippe Horvath; Ralph J. Cicerone; Ralph L. Brinster; Sandra Faber; Seymour Benzer; Solomon Halbert Snyder; Stuart Card; Takeo Kanade; William J. Borucki; William Richard Peltier
Boyd McCandless Award	award for young scientists who contributed to developmental psychology	5.0	1.0	0.0	0.0	0.984375	1990-01-01T00:00:00Z	2002-01-01T00:00:00Z	Dare Baldwin; Judy Garber; Karen Adolph; Nicki R. Crick; Simon Baron-Cohen; Yuko Munakata
Breakthrough Prize in Fundamental Physics	science award	1.0	31.0	0.0	0.0	7.683411240577698e-09	2012-01-01T00:00:00Z	2021-01-01T00:00:00Z	Adam Riess; Alan Guth; Alexei Kitaev; Andrei Linde; Andrew Strominger; Arthur B. McDonald; Ashoke Sen; Atsuto Suzuki; Blayne Heckel; Brian Schmidt; Edward Witten; Eric G. Adelberger; Fabiola Gianotti; Jens Gundlach; John Henry Schwarz; Joseph Polchinski; Juan José Gómez Cadenas; Juan Martín Maldacena; Kam-Biu Luk; Kōichirō Nishikawa; Maxim Kontsevich; Michael Green; Michel della Negra; Mikhail Gorodetsky; Nathan Seiberg; Nima Arkani-Hamed; Ronald Drever; Saul Perlmutter; Takaaki Kajita; Wang Yifang; Yōichirō Suzuki; Zsolt Frei
Breakthrough Prize in Mathematics	mathematics award	0.0	4.0	0.0	0.0	0.0625	2014-01-01T00:00:00Z	2021-01-01T00:00:00Z	Ian Agol; Martin Hairer; Maxim Kontsevich; Richard Taylor
Bressa Prize	$null$	0.0	27.0	0.0	0.0	7.450580596923828e-09	1875-01-01T00:00:00Z	2006-01-01T00:00:00Z	Alberto Maria De Agostini; Aldo Ghizzetti; Angelo Battelli; Antonio Berlese; Carlo Alfonso Nallino; Carlo Minelli; Charles Darwin; Domenico Comparetti; Ernest Rutherford; Ernesto Schiaparelli; Ernst Haeckel; Ezio Pelizzetti; Francesco Vercelli; Giuseppe Pitrè; Heinrich Rudolf Hertz; Hormuzd Rassam; John Strutt, 3rd Baron Rayleigh; Leo Finzi; Leonida Tonelli; Louis Pasteur; Luigi Luca Cavalli-Sforza; Paolo Orsi; Pasquale Villari; Prince Luigi Amedeo, Duke of the Abruzzi; Richard Willstätter; Rodolfo Lanciani; Vittorio Fiorini
Breuer Award	science award	2.0	5.0	0.0	0.0	0.2265624999999998	2006-01-01T00:00:00Z	2016-01-01T00:00:00Z	André Fischer; Eva-Maria Mandelkow; Harald Steiner; Heiko Braak; Lawrence Rajendran; Ralf Baumeister; Ulrike Müller
Bristol-Myers Squibb Award for Distinguished Achievement in Cancer Research	$null$	2.0	26.0	0.0	0.0	1.516193151473999e-06	1979-01-01T00:00:00Z	2006-01-01T00:00:00Z	Alfred G. Knudson; Anthony Epstein; Arnold J. Levine; Bernard Fisher; Bert Vogelstein; Charles J. Sherr; Denis Parsons Burkitt; Donald Metcalf; Edward Harlow; Elizabeth Blackburn; George W. Santos; Gianni Bonadonna; Henry T. Lynch; Howard E. Skipper; Isaiah J. Fidler; Judah Folkman; Leo Sachs; Michael B. Sporn; Philip Leder; Robert F. Ozols; Robert Weinberg; Stanley J. Korsmeyer; Susan Band Horwitz; Susumu Tonegawa; Thomas Waldmann; V. Craig Jordan; Werner Henle; William S. Hayward
Bristol-Myers Squibb Award for Distinguished Achievement in Cardiovascular Research	$null$	1.0	17.0	0.0	0.0	7.2479248046875e-05	1991-01-01T00:00:00Z	2005-01-01T00:00:00Z	Aaron Marcus; Christine E. Seidman; Daniel Steinberg; Désiré Collen; Earl Davie; Eugene Braunwald; Jan Breslow; Jonathan G. Seidman; Marc Verstraete; Mark Keating; Masashi Yanagisawa; Michael Anthony Gimbrone; Oliver Smithies; Philip Majerus; Robert F. Furchgott; Robert Lefkowitz; Shaun R. Coughlin; William B. Kannel
Bristol-Myers Squibb Award for Distinguished Achievement in Infectious Diseases Research	$null$	0.0	15.0	0.0	0.0	3.0517578125e-05	1991-01-01T00:00:00Z	2005-01-01T00:00:00Z	Barry R. Bloom; Bernard Moss; Bernard N. Fields; Bernard Roizman; Harold Ginsberg; Hiroshi Nikaidō; Jean-Marie Ghuysen; Julian Davies; Louis H. Miller; R. John Collier; Robert G. Webster; Robert M. Chanock; Seymour J. Klebanoff; Stanley Falkow; Stephen C. Harrison
Bristol-Myers Squibb Award for Distinguished Achievement in Metabolic Diseases Research	$null$	0.0	4.0	0.0	0.0	0.0625	2000-01-01T00:00:00Z	2005-01-01T00:00:00Z	Bruce Spiegelman; Philip Cohen; Ronald M. Evans; Salih J. Wakil
Bristol-Myers Squibb Award for Distinguished Achievement in Neuroscience Research	$null$	1.0	29.0	0.0	0.0	2.8870999813079844e-08	1988-01-01T00:00:00Z	2005-01-01T00:00:00Z	Arvid Carlsson; Bertil Hille; Christine Petit; Eric Kandel; Eric Manvers Shooter; Erwin Neher; H. Robert Horvitz; Hans Thoenen; Jean-Pierre Changeux; Jeffrey Clifton Watkins; Julius Axelrod; Marcus E. Raichle; Mario Capecchi; Pasko Rakic; Paul Greengard; Richard Axel; Seymour Benzer; Shigetada Nakanishi; Solomon Halbert Snyder; Stanley B. Prusiner; Sten Grillner; Stephen F. Heinemann; Sydney Brenner; Thomas C. Südhof; Thomas Jessell; Thomas Philip Stroud Powell; Timothy Bliss; Tomas Hökfelt; Walle Nauta; William A. Catterall
Bristol-Myers Squibb Award for Distinguished Achievement in Nutrition Research	$null$	1.0	24.0	0.0	0.0	7.748603820800779e-07	1981-01-01T00:00:00Z	2005-01-01T00:00:00Z	Alfred Sommer; Ancel Keys; Arvid Wretlind; Clement Finch; D. Mark Hegsted; DeWitt S. Goodman; Donald B. McCormick; Donald Zilversmit; Doris Calloway; George A. Bray; George H. Beaton; Hamish Munro; Hector DeLuca; Irwin H. Rosenberg; Jan-Åke Gustafsson; John W. Suttie; John Waterlow; Kurt Julius Isselbacher; Nevin S. Scrimshaw; Richard J. Havel; Robert J. Cousins; Samuel J. Fomon; Scott M. Grundy; Vernon R. Young; Walter C. Willett
Brouwer Medal	$null$	1.0	15.0	0.0	0.0	0.0002593994140625	1970-01-01T00:00:00Z	2017-01-01T00:00:00Z	Abraham Robinson; Armand Borel; George Lusztig; Harry Kesten; John Mather; Jürgen Moser; Kenneth Ribet; Kim Plofker; Lucien Birgé; László Lovász; Michael Aizenman; Phillip Griffiths; René Thom; Walter Murray Wonham; Wolfgang Hackbusch; Yuri I. Manin
Bruce Medal	award for research in astronomy	4.0	105.0	0.0	0.0	8.904238193547022e-27	1898-01-01T00:00:00Z	2016-01-01T00:00:00Z	Adriaan Blaauw; Albert Whitford; Albrecht Unsöld; Alfred Fowler; Alfred Harrison Joy; Allan Sandage; Andrew C. Fabian; Armin Otto Leuschner; Arthur Auwers; Arthur Eddington; Bart Bok; Bengt Strömgren; Benjamin Baillaud; Bernard Lyot; Bertil Lindblad; Bohdan Paczyński; Carl Charlier; Charlotte Moore Sitterly; Chushiro Hayashi; David Gill; Dirk Brouwer; Donald Edward Osterbrock; Donald Lynden-Bell; Douglas N. C. Lin; Edward Arthur Milne; Edward Charles Pickering; Edward Emerson Barnard; Edwin Ernest Salpeter; Edwin Hubble; Ejnar Hertzsprung; Ernest William Brown; Ernst Öpik; Eugene Parker; Frank J. Low; Frank Schlesinger; Frank Shu; Frank Watson Dyson; Fred Hoyle; Fred Lawrence Whipple; Frederick Hanley Seares; Geoffrey Burbidge; George Ellery Hale; George Herbig; George William Hill; Gerald Neugebauer; Giovanni Schiaparelli; Grote Reber; Hans Bethe; Harlow Shapley; Harold Delos Babcock; Harold Spencer Jones; Hendrik C. van de Hulst; Henri Poincaré; Henri-Alexandre Deslandres; Henry Norr
Bruno Heck Science Award	$null$	3.0	2.0	0.0	0.0	0.8125	1991-01-01T00:00:00Z	2016-01-01T00:00:00Z	Christopher Poremba; Dirk Steinhilber; Marica Bodrožić; Sigrid Mratschek; Simone Heinemann
Bruno-H.-Bürgel-Preis	award	0.0	4.0	0.0	0.0	0.0625	1986-01-01T00:00:00Z	2014-01-01T00:00:00Z	Daniel Fischer; Hans Jakob Staude; Joachim Herrmann; Ulrich Bastian
Buchanan Medal	award	0.0	19.0	0.0	0.0	1.9073486328125e-06	1897-01-01T00:00:00Z	2020-01-01T00:00:00Z	Almroth Wright; Barry Marshall; Christopher Marshall; Cyril Clarke; David Bruce; David Lane; David Weatherall; Denis Parsons Burkitt; Douglass Matthew Turnbull; George K. Radda; Irwin McLean; John Simon; Major Greenwood; Michael Derek Waterfield; Peter Cresswell; Richard Doll; William Crawford Gorgas; William Henry Power; William Stanley Peart
Buffett Award for Leadership in Conservation in Latinamerica	environmental award	0.0	1.0	0.0	0.0	0.5	2016-01-01T00:00:00Z	2016-01-01T00:00:00Z	Víctor Zambrano Gonzáles
Bundestag Science Prize	$null$	0.0	7.0	0.0	0.0	0.0078125	1989-01-01T00:00:00Z	2014-01-01T00:00:00Z	Benjamin Höhne; Frank Brettschneider; Martin Sebaldt; Udo Di Fabio; Werner J. Patzelt; Werner Jann; Wolfgang Ismayr
Burtoni Award	award for experts and policy makers around climate change	1.0	2.0	0.0	0.0	0.5	2003-01-01T00:00:00Z	2015-01-01T00:00:00Z	Ian Burton; Karen O'Brien; Mark Pelling
Bôcher Memorial Prize	award	0.0	18.0	0.0	0.0	3.814697265625e-06	1923-01-01T00:00:00Z	2011-01-01T00:00:00Z	Albert Charles Schaeffer; Alberto Bressan; Daniel Tătaru; Demetrios Christodoulou; Donald Samuel Ornstein; George David Birkhoff; Gunther Uhlmann; Isadore Singer; James Waddell Alexander II; Jesse Douglas; John von Neumann; Leon Simon; Louis Nirenberg; Norman Levinson; Richard Melrose; Richard Schoen; Solomon Lefschetz; Thomas Wolff
C. F. Hansen Medal	$null$	4.0	22.0	0.0	0.0	0.0002667605876922608	1893-01-01T00:00:00Z	2020-01-01T00:00:00Z	Arne Jacobsen; Axel Berg; Bjarke Ingels; Borge Mogensen; C. F. Møller; Christian Cold; Dan Stubbergaard; Erik Hansen; Gehrdt Bornebusch; Grethe Meyer; Gudmund Nyeland Brandt; Hans Christian Hansen; Hans Dissing; Henning Jørgensen; Henning Larsen; Ivar Bentsen; Johan Richter; Kaare Klint; Kim Herforth Nielsen; Nils-Ole Lund; Peder Vilhelm Jensen-Klint; Signe Cold; Torben Schønherr; Ursula Munch-Petersen; Vibeke Klint; Viggo Møller-Jensen
CHI Academy	honorary group of individuals who have made substantial contributions to the field of human-computer interaction	21.0	44.0	0.0	0.0	0.0029592166263096523	2001-01-01T00:00:00Z	2020-01-01T00:00:00Z	Aaron Marcus; Alan Dix; Anind Dey; Austin Henderson; Batya Friedman; Ben Shneiderman; Benjamin B. Bederson; Bill Buxton; Bill Verplank; Bonnie E. John; Bonnie Nardi; Catherine Plaisant; Clarisse De Souza; Clayton Lewis; Donald Norman; Elizabeth Mynatt; Eric Horvitz; Ernest Edmonds; George G. Robertson; George fitzmaurice; Gerhard Fischer; Gregory Abowd; Hiroshi Ishii; James D. Foley; James D. Hollan; Jean-Daniel Fekete; Jennifer Mankoff; Jenny Preece; John Gould; John M. Carroll; John Zimmerman; Joseph Konstan; Joy Mountford; Kasper Hornbæk; Kristina Höök; Larry Tesler; Loren Terveen; Lucy Suchman; Mary Beth Rosson; Mary Czerwinski; Meredith Ringel Morris; Michel Beaudouin-Lafon; Nuria Oliver; Paul Dourish; Peter Pirolli; Peter Wright; Randy Pausch; Rebecca Grinter; Robert E. Kraut; Ronald Baecker; Sara Kiesler; Scott Hudson; Stephen Brewster; Steve Whittaker; Steven Drucker; Steven K. Feiner; Stuart Card; Susan T. Dumais; Thomas Landauer; Thomas P. Moran; Thomas R.G. Green; Victoria B
CNRS Gold medal	$null$	2.0	35.0	0.0	0.0	5.12227416038513e-09	1955-01-01T00:00:00Z	2019-01-01T00:00:00Z	Albert Fert; Alfred Kastler; Bernard Halpern; Charles Fehrenbach; Christiane Desroches Noblecourt; Claude Allègre; Claude Hagège; Claude Lorius; Claude Lévi-Straus; Gaston Dupouy; Gaston Ramon; Georges Chaudron; Gérard Férey; Henri Cartan; Jacques Hadamard; Jacques Le Goff; Jean Jouzel; Jean Weissenbach; Jean-Pierre Serre; Jules Hoffmann; Louis de Broglie; Marc Julia; Nicole Marthe Le Douarin; Philippe Nozières; Pierre Bourdieu; Pierre Chambon; Pierre Jacquinot; Pierre Joliot; Pierre Potier; Piotr Słonimski; Pol Bouin; Raoul Blanchard; Robert Courrier; Roland Martin; Serge Haroche; Thomas Ebbesen; Éric Karsenti
CNRS bronze medal	$null$	38.0	26.0	0.0	0.0	0.9482890608419596	1971-01-01T00:00:00Z	2020-01-01T00:00:00Z	Agnès Helmstetter; Ahmed Abbes; Aida Todri-Sanial; Alberto Dalla Rosa; Alessandro Morbidelli; Alice Meunier; Allison Bardin; André Zaoui; Anne Boutin; Anouche Kunth; Barbara Tillmann; Bérangère Redon; Bérengère Dubrulle; Camille Risi; Christiane Klapisch-Zuber; Claire Rougeulle; Claire Zalc; Clare Hudson; Céline Coutrix; Danielle Laurencin; Denis Lacroix; Elvira Astafyeva; Estelle Métay; François Forget; François-Xavier Fauvelle; Frédéric Trément; Géraldine Masson; Gérard Berry; Hervé Le Treut; Houria Kabbour; Hugues Vertet; Hélène Morlon; Irène Buvat; Ivan Huc; Jean-Louis Jeannelle; Justine Serrano; Katia Zanier; Kumiko Kotera; Laura Thevenard; Lenka Zdeborová; Lluís Quintana-Murci; Marie-Hélène Genest; Maud Simonet-Cusset; Mounia Lagha; Mélanie Davranche; Nabila Aghanim; Olivier Godechot; Pascale Delecluse; Patrice Dunoyer; Reina Fernandez de Luco; Roshdi Rashed; Serge Paugam; Stéphane Zuber; Stéphanie Latte Abdallah; Sébastien Fath; Tatiana Giraud; Thierry Buffeteau; Thierry Sanjuan
CNRS silver medal	$null$	63.0	64.0	0.0	0.0	0.49999999999999983	1958-01-01T00:00:00Z	2020-01-01T00:00:00Z	Abdelhak Djouadi; Agnès Barthélémy; Alain Connes; Alain Marty; Alain Trautmann; Alexandre Rozanov; Alice Guionnet; Andrea Tommasi; Anne Imberty; Anne Tresset; Annie Marc; Astrid Lambrecht; Barbara Glowczewski; Barbara Tillmann; Benedita Barata da Rocha; Bernard Cabane; Bernard Lahire; Bernard Meunier; Brigitte Senut; Bérengère Dubrulle; Catherine Bréchignac; Catherine Cécile Picart; Catherine Postic; Christophe Charle; Claire Mathieu; Claude Cohen-Tannoudji; Claude Détraz; Daniel Lincot; Denis-Didier Rousseau; Denise Pumain; Dominique Stéhelin; Ekaterina Zhuravskaya; Elias Khan; Emmanuelle Pouydebat; Francis Albarède; Frank Merle; François Renaud; François Robert; Françoise Combes; Frédérique Marion; Frédérique Viard; Gabriel Chardin; Gabrielle Demange; Gérard Laumon; Hervé Claustre; Hélène Bouchiat; Ioan Doré Landau; Ionel Solomon; Iosif Sifakis; Isabelle Chuine; Isabelle Gallagher; Isabelle Olivieri; Isabelle Rico-Lattes; Isabelle Wingerter-Seez; Ivan Huc; Jacqueline Belloni; Jean Du
